4461
4460
387150
5639	6909
5652	6142
5654	6101
5659	6910
5659	6920
5661	6182
5663	6830
5669	6213
5670	6425
5671	6870
5673	6132
5682	6840
5690	6891
5694	6801
5698	6265
5698	6952
5701	6184
5701	6407
5712	6154
5716	6296
5720	6438
5722	6397
5722	6873
5730	6458
5731	6893
5736	6317
5737	6064
5738	6034
5738	6267
5740	5984
5741	6206
5741	6418
5744	6368
5744	6823
5746	6783
5748	6490
5748	6965
5749	6944
5750	6227
5756	6308
5758	6733
5761	6440
5762	6187
5763	6389
5774	6127
5776	6319
5776	6774
5777	6289
5779	6026
5780	6916
5783	6168
5784	6137
5788	6744
5789	6249
5790	5996
5797	6077
5799	6482
5799	6957
5800	6472
5802	6411
5804	6836
5805	6350
5806	6563
5808	6047
5810	6229
5813	6159
5817	6311
5818	6988
5820	6472
5822	6200
5822	6432
5822	6877
5825	6594
5827	6089
5829	6726
5833	6392
5833	6635
5838	6281
5840	6948
5841	6686
5842	6665
5844	6160
5846	6807
5847	6544
5847	6999
5848	6049
5850	6251
5851	6919
5853	6413
5855	6120
5859	6272
5860	6009
5860	6484
5861	6687
5863	6869
5864	6616
5867	6090
5867	7010
5872	6909
5873	6171
5874	6151
5876	6333
5878	6768
5879	6738
5879	6970
5884	6394
5890	6253
5890	6718
5891	6000
5892	6668
5893	6880
5895	6840
5896	6122
5897	6324
5898	6304
5900	6496
5902	5971
5902	6911
5905	6365
5905	6618
5906	7042
5908	6759
5908	7002
5909	6042
5910	6264
5911	6941
5912	6456
5913	6891
5914	6163
5917	6568
5920	6022
5928	6083
5932	6225
5939	6983
5940	6275
5940	6953
5941	6245
5944	6185
5945	5922
5945	6144
5946	6367
5947	7034
5949	6296
5949	6529
5953	6195
5956	6832
5957	6114
5959	6064
5961	6479
5961	6944
5962	6923
5963	6438
5963	6671
5964	6418
5964	6651
5965	7095
5966	6610
5968	7025
5973	6894
5975	6388
5975	6398
5977	5873
5977	6803
5978	6783
5980	6742
5981	6712
5981	6945
5982	6004
5984	5964
5984	7117
5986	6844
5986	7076
5989	5833
5990	6975
5991	6247
5997	5884
5997	7036
5998	6096
6004	5965
6009	6996
6010	6289
6011	6723
6012	6926
6015	6178
6016	6147
6017	6360
6019	5854
6019	6552
6019	7007
6020	6977
6023	6906
6024	6663
6025	5935
6026	6603
6028	6107
6029	6785
6031	6047
6031	6259
6033	6229
6034	6209
6035	6168
6036	7078
6041	5805
6041	6502
6041	6735
6042	6017
6042	6472
6045	6179
6046	5916
6046	6856
6052	6938
6054	6200
6055	6422
6058	6351
6060	6058
6060	6523
6062	6483
6063	6453
6065	5957
6065	6645
6068	6817
6070	6999
6071	6736
6074	6666
6076	6403
6076	6615
6076	7090
6077	6372
6077	9153
6078	5887
6078	6110
6080	5847
6081	5817
6081	6969
6082	5796
